CMDLINE ./a.out /MMCI/TM/scratch/ghaffari/experiments/grem/hgvg-filtered/vg/1000genomes-sv-filtered-af_ge_1/wg.vg
MEM 1754.308594 1594659028.2631
MEM 1764.878906 1594659028.3637
MEM 1773.386719 1594659028.4643
MEM 1773.386719 1594659028.5650
MEM 1785.496094 1594659028.6656
MEM 1807.835938 1594659028.7663
MEM 1811.785156 1594659028.8670
MEM 1816.250000 1594659028.9676
MEM 1821.148438 1594659029.0682
MEM 1825.273438 1594659029.1688
MEM 1832.492188 1594659029.2695
MEM 1842.804688 1594659029.3703
MEM 1852.859375 1594659029.4709
MEM 1852.859375 1594659029.5716
MEM 1866.007812 1594659029.6722
MEM 1982.796875 1594659029.7729
MEM 1933.113281 1594659029.8736
MEM 1986.222656 1594659029.9742
MEM 2115.128906 1594659030.0748
MEM 2237.585938 1594659030.1755
MEM 2198.984375 1594659030.2761
MEM 2326.085938 1594659030.3768
MEM 2266.578125 1594659030.4774
MEM 2266.578125 1594659030.5781
MEM 2266.578125 1594659030.6787
MEM 2269.664062 1594659030.7793
MEM 2273.789062 1594659030.8800
MEM 2275.335938 1594659030.9806
MEM 2284.453125 1594659031.0812
MEM 2295.281250 1594659031.1819
MEM 2302.757812 1594659031.2825
MEM 2302.757812 1594659031.3832
MEM 2306.359375 1594659031.4838
MEM 2318.476562 1594659031.5845
MEM 2322.601562 1594659031.6851
MEM 2326.726562 1594659031.7857
MEM 2330.851562 1594659031.8864
MEM 2334.976562 1594659031.9871
MEM 2337.812500 1594659032.0877
MEM 2345.289062 1594659032.1883
MEM 2355.601562 1594659032.2890
MEM 2366.687500 1594659032.3897
MEM 2369.007812 1594659032.4903
MEM 2369.007812 1594659032.5910
MEM 2435.523438 1594659032.6916
MEM 2559.785156 1594659032.7923
MEM 2435.574219 1594659032.8929
MEM 2380.195312 1594659032.9936
MEM 2386.621094 1594659033.0942
MEM 2386.621094 1594659033.1948
MEM 2386.878906 1594659033.2955
MEM 2391.003906 1594659033.3962
MEM 2395.128906 1594659033.4970
MEM 2396.417969 1594659033.5976
MEM 2408.792969 1594659033.6982
MEM 2419.363281 1594659033.7989
MEM 2430.964844 1594659033.8995
MEM 2431.996094 1594659034.0002
MEM 2431.996094 1594659034.1009
MEM 2437.640625 1594659034.2015
MEM 2456.968750 1594659034.3021
MEM 2463.371094 1594659034.4028
MEM 2467.359375 1594659034.5034
MEM 2471.527344 1594659034.6041
MEM 2475.617188 1594659034.7047
MEM 2478.191406 1594659034.8054
MEM 2482.105469 1594659034.9060
MEM 2457.769531 1594659035.0067
MEM 2457.769531 1594659035.1073
MEM 2463.800781 1594659035.2079
MEM 2474.628906 1594659035.3086
MEM 2478.496094 1594659035.4092
MEM 2485.199219 1594659035.5099
MEM 2497.574219 1594659035.6105
MEM 2508.144531 1594659035.7111
MEM 2515.878906 1594659035.8118
